Census families by age of older partner or parent and number of children 1 2 3 4 5
"Annual"
"Table: 11-10-0011-01 (formerly CANSIM 111-0011)"
"Geography: Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"

"","","","Montréal, Quebec 7",,,,,,,,,,,"Toronto, Ontario",,,,,,,,,,,"Calgary, Alberta",,,,,,,,,,,"Edmonton, Alberta",,,,,,,,,,,"Vancouver, British Columbia",,,,,,,,,,,"Ottawa - Gatineau, combined Ontario/Quebec 8",,,,,,,,,,
"Family type2 3 4 5","Family composition2 3 4 5","Parent characteristics5","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"All families 3 4","Families with or without children 2 3 4 9","","Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"All parental age groups 10","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","..","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.6"
,,"Older parent aged 35 to 44 years 10","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.9","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.9","3.9","3.9","3.9","3.9","3.6","3.6","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","..","3.7","3.7","3.7","3.7","3.8","3.8","3.8","3.8","3.8","3.8"
,,"Older parent aged 65 years and over 10","2.7","2.7","2.7","2.7","2.7","2.7","2.8","2.8","2.8","2.8","2.8","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.9","2.7","2.7","2.7","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","..","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8"
,,"","Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Median total income 11 12","68,350","70,450","71,000","72,330","74,660","77,210","79,460","81,500","83,890","87,140","90,800","71,350","73,400","72,080","73,800","75,850","77,830","79,910","83,160","86,870","89,790","93,290","92,990","97,900","93,980","95,020","99,390","105,120","109,400","113,480","113,000","108,120","110,390","88,770","94,470","92,310","93,870","98,270","103,570","106,830","110,430","110,230","106,120","108,560","69,890","72,800","71,880","71,630","74,050","76,700","79,910","83,490","88,720","92,700","97,350","..","92,030","95,020","96,610","99,840","100,780","104,500","105,430","107,630","109,470","115,230"
"Couple families 3","Families with or without children 2 3 4 9","","Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"All parental age groups 10","843,590","853,140","862,070","870,530","880,860","887,310","895,250","903,900","907,620","943,940","951,880","1,265,760","1,287,680","1,309,490","1,325,490","1,345,230","1,362,740","1,379,950","1,400,550","1,414,960","1,431,290","1,441,700","272,260","282,210","286,490","291,890","301,980","313,450","327,140","338,050","342,020","344,340","346,350","251,070","259,780","264,420","268,770","277,040","286,020","298,940","310,720","316,110","317,800","320,900","527,830","540,530","550,590","558,950","568,730","575,610","585,040","595,740","605,080","613,930","620,860","..","275,220","280,670","283,690","287,940","290,520","293,350","296,940","300,050","310,570","315,080"
,,"Older parent aged 35 to 44 years 10","190,870","189,320","189,000","190,010","192,160","194,240","195,790","197,890","197,940","204,860","205,850","324,530","321,110","317,210","315,040","312,890","310,140","307,430","304,870","303,470","302,890","300,820","68,850","71,070","71,530","72,770","75,440","78,990","82,770","86,060","86,520","86,870","86,870","55,660","57,220","58,060","58,900","61,470","64,580","68,740","72,780","74,340","75,100","76,570","123,060","122,700","122,000","121,750","121,580","120,750","120,090","120,290","121,210","122,810","124,120","..","62,520","62,160","61,870","61,850","61,660","61,400","61,600","61,100","62,950","63,610"
,,"Older parent aged 65 years and over 10","159,550","164,490","169,690","175,090","181,720","188,010","194,220","200,340","205,600","218,880","225,660","216,440","224,270","232,720","240,290","252,190","266,420","277,730","290,330","299,170","309,200","320,090","36,450","37,890","39,290","41,080","43,680","46,400","49,270","52,010","54,770","57,670","61,010","40,260","41,660","42,890","44,300","46,430","48,640","51,040","53,370","56,110","58,760","61,770","95,340","98,860","102,470","105,990","111,380","117,880","123,640","129,380","134,470","139,370","144,440","..","47,920","49,990","51,960","54,900","58,250","61,270","64,110","66,740","71,120","74,090"
,,"","Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
