"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824027","46.1.2","651","","","","0"
"2014","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824027","46.1.2","655","","","","0"
"2015","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824027","46.1.2","668","","","","0"
"2016","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824027","46.1.2","679","","","","0"
"2017","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824027","46.1.2","698","","","","0"
"2018","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824027","46.1.2","720","","","","0"
"2019","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824027","46.1.2","754","","","","0"
"2009","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824161","46.1.3","669","","","","0"
"2010","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824161","46.1.3","700","","","","0"
"2011","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824161","46.1.3","719","","","","0"
"2012","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824161","46.1.3","711","","","","0"
"2013","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824161","46.1.3","730","","","","0"
