"REF_DATE","GEO","DGUID","Building type","Construction type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-07","Montréal, Quebec","2016S0503462","Condominium apartment","Total, construction type","Index, 2017=100","373","units","0","v1073542627","2.3.1","110.6","","","","1"
"2019-10","Montréal, Quebec","2016S0503462","Condominium apartment","Total, construction type","Index, 2017=100","373","units","0","v1073542627","2.3.1","112.2","","","","1"
"2020-01","Montréal, Quebec","2016S0503462","Condominium apartment","Total, construction type","Index, 2017=100","373","units","0","v1073542627","2.3.1","115.0","","","","1"
"2017-01","Montréal, Quebec","2016S0503462","Condominium apartment","New build","Index, 2017=100","373","units","0","v1073542630","2.3.2","98.4","","","","1"
"2017-04","Montréal, Quebec","2016S0503462","Condominium apartment","New build","Index, 2017=100","373","units","0","v1073542630","2.3.2","98.5","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","Condominium apartment","New build","Index, 2017=100","373","units","0","v1073542630","2.3.2","100.0","","","","1"
"2017-10","Montréal, Quebec","2016S0503462","Condominium apartment","New build","Index, 2017=100","373","units","0","v1073542630","2.3.2","103.1","","","","1"
"2018-01","Montréal, Quebec","2016S0503462","Condominium apartment","New build","Index, 2017=100","373","units","0","v1073542630","2.3.2","101.6","","","","1"
"2018-04","Montréal, Quebec","2016S0503462","Condominium apartment","New build","Index, 2017=100","373","units","0","v1073542630","2.3.2","101.9","","","","1"
"2018-07","Montréal, Quebec","2016S0503462","Condominium apartment","New build","Index, 2017=100","373","units","0","v1073542630","2.3.2","103.9","","","","1"
"2018-10","Montréal, Quebec","2016S0503462","Condominium apartment","New build","Index, 2017=100","373","units","0","v1073542630","2.3.2","104.3","","","","1"
"2019-01","Montréal, Quebec","2016S0503462","Condominium apartment","New build","Index, 2017=100","373","units","0","v1073542630","2.3.2","103.3","","","","1"
"2019-04","Montréal, Quebec","2016S0503462","Condominium apartment","New build","Index, 2017=100","373","units","0","v1073542630","2.3.2","104.9","","","","1"
"2019-07","Montréal, Quebec","2016S0503462","Condominium apartment","New build","Index, 2017=100","373","units","0","v1073542630","2.3.2","108.0","","","","1"
"2019-10","Montréal, Quebec","2016S0503462","Condominium apartment","New build","Index, 2017=100","373","units","0","v1073542630","2.3.2","109.2","","","","1"
"2020-01","Montréal, Quebec","2016S0503462","Condominium apartment","New build","Index, 2017=100","373","units","0","v1073542630","2.3.2","111.8","","","","1"
"2017-01","Montréal, Quebec","2016S0503462","Condominium apartment","Resale","Index, 2017=100","373","units","0","v1073542633","2.3.3","97.9","","","","1"
"2017-04","Montréal, Quebec","2016S0503462","Condominium apartment","Resale","Index, 2017=100","373","units","0","v1073542633","2.3.3","99.9","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","Condominium apartment","Resale","Index, 2017=100","373","units","0","v1073542633","2.3.3","100.7","","","","1"
"2017-10","Montréal, Quebec","2016S0503462","Condominium apartment","Resale","Index, 2017=100","373","units","0","v1073542633","2.3.3","101.5","","","","1"
"2018-01","Montréal, Quebec","2016S0503462","Condominium apartment","Resale","Index, 2017=100","373","units","0","v1073542633","2.3.3","101.2","","","","1"
"2018-04","Montréal, Quebec","2016S0503462","Condominium apartment","Resale","Index, 2017=100","373","units","0","v1073542633","2.3.3","103.3","","","","1"
"2018-07","Montréal, Quebec","2016S0503462","Condominium apartment","Resale","Index, 2017=100","373","units","0","v1073542633","2.3.3","105.7","","","","1"
"2018-10","Montréal, Quebec","2016S0503462","Condominium apartment","Resale","Index, 2017=100","373","units","0","v1073542633","2.3.3","106.8","","","","1"
"2019-01","Montréal, Quebec","2016S0503462","Condominium apartment","Resale","Index, 2017=100","373","units","0","v1073542633","2.3.3","106.7","","","","1"
"2019-04","Montréal, Quebec","2016S0503462","Condominium apartment","Resale","Index, 2017=100","373","units","0","v1073542633","2.3.3","109.1","","","","1"
"2019-07","Montréal, Quebec","2016S0503462","Condominium apartment","Resale","Index, 2017=100","373","units","0","v1073542633","2.3.3","112.4","","","","1"
"2019-10","Montréal, Quebec","2016S0503462","Condominium apartment","Resale","Index, 2017=100","373","units","0","v1073542633","2.3.3","114.2","","","","1"
"2020-01","Montréal, Quebec","2016S0503462","Condominium apartment","Resale","Index, 2017=100","373","units","0","v1073542633","2.3.3","117.2","","","","1"
"2017-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","97.6","","","","1"
"2017-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","98.8","","","","1"
"2017-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","101.2","","","","1"
"2017-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","102.4","","","","1"
"2018-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","102.5","","","","1"
"2018-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","105.3","","","","1"
"2018-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","107.5","","","","1"
"2018-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","108.6","","","","1"
"2019-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","108.0","","","","1"
"2019-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","112.2","","","","1"
"2019-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","115.7","","","","1"
"2019-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","118.4","","","","1"
"2020-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","122.3","","","","1"
"2017-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","New build","Index, 2017=100","373","units","0","v1073542637","3.1.2","98.7","","","","1"
"2017-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","New build","Index, 2017=100","373","units","0","v1073542637","3.1.2","99.4","","","","1"
"2017-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","New build","Index, 2017=100","373","units","0","v1073542637","3.1.2","100.7","","","","1"
"2017-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","New build","Index, 2017=100","373","units","0","v1073542637","3.1.2","101.3","","","","1"
"2018-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","New build","Index, 2017=100","373","units","0","v1073542637","3.1.2","102.3","","","","1"
"2018-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","New build","Index, 2017=100","373","units","0","v1073542637","3.1.2","103.9","","","","1"
"2018-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","New build","Index, 2017=100","373","units","0","v1073542637","3.1.2","105.1","","","","1"
"2018-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","New build","Index, 2017=100","373","units","0","v1073542637","3.1.2","106.3","","","","1"
"2019-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","New build","Index, 2017=100","373","units","0","v1073542637","3.1.2","107.6","","","","1"
"2019-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","New build","Index, 2017=100","373","units","0","v1073542637","3.1.2","110.1","","","","1"
"2019-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","New build","Index, 2017=100","373","units","0","v1073542637","3.1.2","112.7","","","","1"
"2019-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","New build","Index, 2017=100","373","units","0","v1073542637","3.1.2","115.7","","","","1"
"2020-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","New build","Index, 2017=100","373","units","0","v1073542637","3.1.2","119.8","","","","1"
"2017-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Resale","Index, 2017=100","373","units","0","v1073542640","3.1.3","97.1","","","","1"
"2017-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Resale","Index, 2017=100","373","units","0","v1073542640","3.1.3","98.5","","","","1"
"2017-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Resale","Index, 2017=100","373","units","0","v1073542640","3.1.3","101.5","","","","1"
"2017-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Resale","Index, 2017=100","373","units","0","v1073542640","3.1.3","102.9","","","","1"
"2018-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Resale","Index, 2017=100","373","units","0","v1073542640","3.1.3","102.7","","","","1"
"2018-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Resale","Index, 2017=100","373","units","0","v1073542640","3.1.3","105.9","","","","1"
"2018-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Resale","Index, 2017=100","373","units","0","v1073542640","3.1.3","108.5","","","","1"
"2018-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Resale","Index, 2017=100","373","units","0","v1073542640","3.1.3","109.5","","","","1"
"2019-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Resale","Index, 2017=100","373","units","0","v1073542640","3.1.3","108.1","","","","1"
"2019-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Resale","Index, 2017=100","373","units","0","v1073542640","3.1.3","113.1","","","","1"
"2019-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Resale","Index, 2017=100","373","units","0","v1073542640","3.1.3","116.9","","","","1"
"2019-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Resale","Index, 2017=100","373","units","0","v1073542640","3.1.3","119.5","","","","1"
"2020-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Resale","Index, 2017=100","373","units","0","v1073542640","3.1.3","123.3","","","","1"
"2017-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Total, construction type","Index, 2017=100","373","units","0","v1073542635","3.2.1","97.2","","","","1"
"2017-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Total, construction type","Index, 2017=100","373","units","0","v1073542635","3.2.1","98.6","","","","1"
"2017-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Total, construction type","Index, 2017=100","373","units","0","v1073542635","3.2.1","101.4","","","","1"
"2017-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Total, construction type","Index, 2017=100","373","units","0","v1073542635","3.2.1","102.9","","","","1"
"2018-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Total, construction type","Index, 2017=100","373","units","0","v1073542635","3.2.1","103.3","","","","1"
"2018-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Total, construction type","Index, 2017=100","373","units","0","v1073542635","3.2.1","105.8","","","","1"
"2018-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Total, construction type","Index, 2017=100","373","units","0","v1073542635","3.2.1","108.0","","","","1"
"2018-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Total, construction type","Index, 2017=100","373","units","0","v1073542635","3.2.1","109.1","","","","1"
"2019-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Total, construction type","Index, 2017=100","373","units","0","v1073542635","3.2.1","108.2","","","","1"
"2019-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Total, construction type","Index, 2017=100","373","units","0","v1073542635","3.2.1","112.2","","","","1"
"2019-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Total, construction type","Index, 2017=100","373","units","0","v1073542635","3.2.1","115.7","","","","1"
"2019-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Total, construction type","Index, 2017=100","373","units","0","v1073542635","3.2.1","118.2","","","","1"
"2020-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Total, construction type","Index, 2017=100","373","units","0","v1073542635","3.2.1","121.8","","","","1"
"2017-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","New build","Index, 2017=100","373","units","0","v1073542638","3.2.2","98.0","","","","1"
"2017-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","New build","Index, 2017=100","373","units","0","v1073542638","3.2.2","99.3","","","","1"
"2017-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","New build","Index, 2017=100","373","units","0","v1073542638","3.2.2","100.6","","","","1"
"2017-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","New build","Index, 2017=100","373","units","0","v1073542638","3.2.2","102.1","","","","1"
"2018-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","New build","Index, 2017=100","373","units","0","v1073542638","3.2.2","103.1","","","","1"
"2018-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","New build","Index, 2017=100","373","units","0","v1073542638","3.2.2","104.5","","","","1"
"2018-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","New build","Index, 2017=100","373","units","0","v1073542638","3.2.2","105.6","","","","1"
"2018-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","New build","Index, 2017=100","373","units","0","v1073542638","3.2.2","107.1","","","","1"
"2019-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","New build","Index, 2017=100","373","units","0","v1073542638","3.2.2","107.8","","","","1"
