"Population estimates, July 1, by census metropolitan area and census agglomeration, 2016 boundaries" 1 2 3 4 5 6 7
"Annual"
"Table: 17-10-0135-01"
"Geography: Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"

"","Both sexes",,,,,,,,,,
"","All ages",,,,,,,,,,
"Geography","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","Persons",,,,,,,,,,
"Cold Lake (CA), Alberta","13,777","14,146","14,494","14,796","15,123","15,410","15,352","15,488","15,059","14,847","14,817"
"Grande Prairie (CA), Alberta","55,499","56,583","58,273","60,548","62,342","64,246","65,513","65,044","65,316","67,439","69,933"
"Wood Buffalo (CA), Alberta","64,403","67,280","70,642","74,259","78,260","80,468","79,016","75,302","73,555","74,450","76,128"
"Wetaskiwin (CA), Alberta","12,598","12,722","12,897","13,095","13,173","13,161","12,880","12,994","13,127","13,183","13,201"
"Cranbrook (CA), British Columbia","25,522","25,502","25,461","25,698","25,984","26,327","26,768","27,073","27,295","27,543","27,708"
"Nelson (CA), British Columbia","17,992","18,175","18,310","18,339","18,502","18,614","18,882","19,122","19,200","19,385","19,500"
"Penticton (CA), British Columbia","42,913","42,855","42,926","43,220","43,552","43,910","44,343","45,017","45,527","45,965","46,248"
"Vernon (CA), British Columbia","59,157","59,430","59,477","60,128","60,484","61,479","62,421","63,615","64,496","65,069","65,588"
"Salmon Arm (CA), British Columbia","17,628","17,843","17,912","17,815","17,840","17,921","18,273","18,526","18,869","19,103","19,369"
"Kamloops (CA), British Columbia","100,129","100,586","100,830","102,073","103,413","104,711","106,093","108,213","110,444","113,890","115,957"
"Chilliwack (CA), British Columbia","92,548","94,398","95,862","97,595","98,991","100,626","102,876","106,006","108,942","112,361","114,938"
"Squamish (CA), British Columbia","17,052","17,487","17,980","18,410","18,956","19,594","20,212","20,910","21,508","22,013","22,397"
"Duncan (CA), British Columbia","43,575","43,829","43,917","43,948","44,342","44,839","45,312","46,129","46,948","47,578","48,251"
"Nanaimo (CA), British Columbia","98,184","99,261","99,996","101,238","102,696","104,754","106,959","109,193","111,109","113,493","115,743"
"Parksville (CA), British Columbia","27,728","27,922","27,938","28,121","28,286","28,582","29,088","29,637","30,465","30,586","30,707"
"Port Alberni (CA), British Columbia","25,996","26,003","25,838","25,663","25,513","25,544","25,692","26,045","26,255","26,540","26,794"
"Courtenay (CA), British Columbia","51,596","52,010","52,521","53,054","53,287","53,886","55,007","56,066","57,226","58,377","59,268"
"Campbell River (CA), British Columbia","36,489","36,601","36,726","36,993","37,377","37,854","38,488","39,398","40,157","41,048","41,845"
"Powell River (CA), British Columbia","17,019","16,989","16,882","16,863","16,953","17,045","17,071","17,342","17,454","17,521","17,558"
"Williams Lake (CA), British Columbia","19,209","18,987","18,841","18,858","18,816","19,044","18,992","19,049","19,003","19,222","19,513"
"Quesnel (CA), British Columbia","23,870","23,954","23,969","23,964","23,944","23,857","23,930","24,056","24,146","24,281","24,398"
