"REF_DATE","GEO","DGUID","Family type","Family composition","Parent characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Montréal, Quebec","2016S0503462","All families","Families with 1 child","All parental age groups","Number","223","units","0","v21211330","14.1.3.1","288930","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with 1 child","All parental age groups","Number","223","units","0","v21211330","14.1.3.1","288250","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with 1 child","All parental age groups","Number","223","units","0","v21211330","14.1.3.1","288290","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with 1 child","All parental age groups","Number","223","units","0","v21211330","14.1.3.1","287930","","","","0"
"2014","Montréal, Quebec","2016S0503462","All families","Families with 1 child","All parental age groups","Number","223","units","0","v21211330","14.1.3.1","288240","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with 1 child","All parental age groups","Number","223","units","0","v21211330","14.1.3.1","287390","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with 1 child","All parental age groups","Number","223","units","0","v21211330","14.1.3.1","294930","","","","0"
"2017","Montréal, Quebec","2016S0503462","All families","Families with 1 child","All parental age groups","Number","223","units","0","v21211330","14.1.3.1","294390","","","","0"
"2007","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 35 to 44 years","Number","223","units","0","v21211333","14.1.3.4","70820","","","","0"
"2008","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 35 to 44 years","Number","223","units","0","v21211333","14.1.3.4","69830","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 35 to 44 years","Number","223","units","0","v21211333","14.1.3.4","68380","","","","0"
"2010","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 35 to 44 years","Number","223","units","0","v21211333","14.1.3.4","68620","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 35 to 44 years","Number","223","units","0","v21211333","14.1.3.4","67840","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 35 to 44 years","Number","223","units","0","v21211333","14.1.3.4","67540","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 35 to 44 years","Number","223","units","0","v21211333","14.1.3.4","66750","","","","0"
"2014","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 35 to 44 years","Number","223","units","0","v21211333","14.1.3.4","66680","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 35 to 44 years","Number","223","units","0","v21211333","14.1.3.4","66640","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 35 to 44 years","Number","223","units","0","v21211333","14.1.3.4","68070","","","","0"
"2017","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 35 to 44 years","Number","223","units","0","v21211333","14.1.3.4","67960","","","","0"
"2007","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 65 years and over","Number","223","units","0","v21211336","14.1.3.7","35920","","","","0"
